STATE,YEAR,AVG_MATH_8_SCORE,AVG_READING_8_SCORE,,,
NORTHERN_MARIANAS,2008,,,,,
PUERTO_RICO,2008,,,,,
VIRGIN_ISLANDS,2008,,,,,
AMERICAN_SAMOA,2005,,,,,
BIE,2005,,,,,
DOD_DOMESTIC,2005,,,,,
DOD_OVERSEAS,2005,,,,,
GUAM,2005,,,,,
NORTHERN_MARIANAS,2005,,,,,
PUERTO_RICO,2005,,,,,
VIRGIN_ISLANDS,2005,,,,,
AMERICAN_SAMOA,1997,,,,,
COMMONWEALTH_OF_MARIANAS,1997,,,,,
DOD_-_FOREIGN,1997,,,,,
GUAM,1997,,,,,
PUERTO_RICO,1997,,,,,
VIRGIN_ISLANDS,1997,,,,,
AMERICAN_SAMOA,1995,,,,,
GUAM,1995,,,,,
NORTHERN_MARIANAS,1995,,,,,
PUERTO_RICO,1995,,,,,
VIRGIN_ISLANDS,1995,,,,,
AS,1998,,,,,
BI,1998,,,,,
DD,1998,,,,,
GU,1998,,,,,
MP,1998,,,,,
PR,1998,,,,,
VI,1998,,,,,
AMERICAN_SAMOA,2003,,,,,
BUREAU_OF_INDIAN_AFFAIRS,2003,,,,,
DOD_DOMESTIC,2003,,,,,
DOD_OVERSEAS,2003,,,,,
GUAM,2003,,,,,
NORTHERN_MARIANAS,2003,,,,,
PUERTO_RICO,2003,,,,,
VIRGIN_ISLANDS,2003,,,,,
AMERICAN_SAMOA,2013,,,,,
BI,2013,,,,,
DD,2013,,,,,
GUAM,2013,,,,,
NORTHERN_MARIANA_ISLANDS,2013,,,,,
PUERTO_RICO,2013,,,,,
VIRGIN_ISLANDS,2013,,,,,
AMERICAN_SAMOA,1994,,,,,
GUAM,1994,,,,,
MARIANAS,1994,,,,,
PUERTO_RICO,1994,,,,,
VIRGIN_ISLANDS,1994,,,,,
AMERICAN_SAMOA,2011,,,,,
BI,2011,,,,,
DD,2011,,,,,
GUAM,2011,,,,,
NORTHERN_MARIANA_ISLANDS,2011,,,,,
PUERTO_RICO,2011,,,,,
VIRGIN_ISLANDS,2011,,,,,
AMERICAN_SAMOA,2002,,,,,
BUREAU_OF_INDIAN_AFFAIRS,2002,,,,,
DOD_DOMESTIC,2002,,,,,
DOD_OVERSEAS,2002,,,,,
GUAM,2002,,,,,
NORTHERN_MARIANAS,2002,,,,,
PUERTO_RICO,2002,,,,,
VIRGIN_ISLANDS,2002,,,,,
AMERICAN_SAMOA,2006,,,,,
BIE,2006,,,,,
DOD_DOMESTIC,2006,,,,,
DOD_OVERSEAS,2006,,,,,
GUAM,2006,,,,,
NORTHERN_MARIANAS,2006,,,,,
PUERTO_RICO,2006,,,,,
VIRGIN_ISLANDS,2006,,,,,
AMERICAN_SAMOA,2004,,,,,
BUREAU_OF_INDIAN_EDUCATIO,2004,,,,,
DOD_DOMESTIC,2004,,,,,
DOD_OVERSEAS,2004,,,,,
GUAM,2004,,,,,
NORTHERN_MARIANAS,2004,,,,,
PUERTO_RICO,2004,,,,,
VIRGIN_ISLANDS,2004,,,,,
AMERICAN_SAMOA,1993,,,,,
GUAM,1993,,,,,
NORTHERN_MARIANAS,1993,,,,,
PUERTO_RICO,1993,,,,,
VIRGIN_ISLANDS,1993,,,,,
AMERICAN_SAMOA,1999,,,,,
BUREAU_OF_INDIAN_AFFAIRS,1999,,,,,
DOD_DOMESTIC,1999,,,,,
DOD_OVERSEAS,1999,,,,,
GUAM,1999,,,,,
NORTHERN_MARIANAS,1999,,,,,
PUERTO_RICO,1999,,,,,
VIRGIN_ISLANDS,1999,,,,,
AMERICAN_SAMOA,2007,,,,,
BUREAU_OF_INDIAN_EDUCATION,2007,,,,,
DOD_-_DOMESTIC,2007,,,,,
DOD_-_OVERSEAS,2007,,,,,
GUAM,2007,,,,,
NORTHERN_MARIANAS,2007,,,,,
PUERTO_RICO,2007,,,,,
VIRGIN_ISLANDS,2007,,,,,
AMERICAN_SAMOA,1992,,,,,
COMMONWEALTH_OF_MARIANAS,1992,,,,,
GUAM,1992,,,,,
PUERTO_RICO,1992,,,,,
VIRGIN_ISLANDS,1992,,,,,
AMERICAN_SAMOA,1996,,,,,
COMMONWEALTH_OF_MARIANAS,1996,,,,,
DOD,1996,,,,,
GUAM,1996,,,,,
PUERTO_RICO,1996,,,,,
